feedbacks,topics
I got the Macbook and he got a Macbook Pro .,
It out performs any other laptop on the market today .,
I made a perfect decision when I bought the Toshiba !,
Page just disapeared after you got yahoo or downloaded something .,
It also does not have bluetooth .,bluetooth
I just hope the reputation that Toshiba has is true and I wo n't have to worry about a crash .,
There 's literally no way to make it sing with Vista .,Vista
Sent unit back and it 's been two months .,
"I have Vista , so I am unable to install and uninstall some programs .","Vista, install, uninstall, programs"
At first it 's like you 're in that honeymoon stage with your laptop .,
Ive had to call tech support many times .,tech support
"I 'm making the switch and finding that my biggest problem is trying to do things the 'old ' way - and Apple does , indeed , have the better idea .",
"After doing CAD work all day at work , using a higher end PC , I could n't come home and settle for the use of a lower end computer .",
I was WRONG !,
"He came into my house , fiddled around on the computer for a good forty minutes and got ready to leave before it was even done doing what he was doing to it .",
Do not purchase this laptop .,
it is the worst computer dell ever made .,
I 'm going back to DELL .,
I took it back to Best Buy where they were so helpful and immediately gave me a new one .,
"I also bought one for my wife , and 3 for my office .",
I will have to purchase Spy ware or Nortell for privacy protection .,"Spy ware, Nortell"
"Apple is always great about the aesthetics of things , they always come up with good looking products .",aesthetics
Its good for playing my apps on Facebook or watching movies .,"playing, watching movies"
Now that I have it I see that I really needed this for much more .,
What 's also interesting is this survey changed my ratings the first time I submitted it in case it does n't keep what I put here are my aratings,
I would recommend this laptop to anyone looking to get a new laptop who is willing to spend a little more money to get great quality !,quality
It can not save the correct date and time I set .,
But it may be potentially hundreds or thousands in the near future .,
"That being said , it still runs video in full screen decently .",
"this is my second one and the same problem , bad video card unreliable overall , this will be my second time returning this laptop back to best buy .",video card
The real stand out on this computer is the feel of the keyboard and it 's speed .,"keyboard, speed"
"Well , they do n't care a bunch .",
"Do n't get me wrong , I am no Microsoft hater , I 've just managed to turn into a much bigger Apple fan because of this machine .",
"This Notebook restarts every time there is a new update , so if you do n't save your files and information , everything will be lost .",
"I used to build my own desktops from the component parts , and recently my 7 year old Pentium 4 with HT 1 GB ram SATA desktop stopped working ( this was a rock star 7 years ago ) .","Pentium 4, 1 GB ram"
I ca n't even turn it off .,
"The Apple will run Internet Explorer , but at an amazingly slow rate .",Internet Explorer
My sister has the same Mac as me and she is in a band and uses GarageBand to record and edit .,GarageBand
Is this partially due to the fact that it is running Windows Vista ?,Windows Vista
It was a laugh too !,
"- Apparently , contactus @ euro.apple.com is not a good address to send complaints .",
"Either way the entire thing was just a joke , a complete rip off !",
"The Hewitt Packard Pavillion dv6700 was my first laptop , before this I had a Dell desktop that I loved .",
This laptop is very large and barely fits in any carrying cases .,
One of them seems to have worked .,
"My last computer , a Toshiba , cost only $ 400 , and worked like a charm for many years .",cost
The keyboard is top notch .,keyboard
I saved for this laptop for 3 months and I can tell you personally it was worth the wait .,
"However , this laptop has a fatal flaw that i discovered merely a week after buying it .",
Love the stability of the Mac software and operating system .,"stability, Mac software, operating system"
"It is short on space , and downloads always had problems being completed , or were said to be 'corrupted ' .","space, downloads"
It is good to know that I can mobilize without having to worry about the battery life .,battery life
My MacBook Pro is no exception .,
It is meant to be PORTABLE .,
"I just got this laptop for college , and so far I am very happy with it .",
Enabling the battery timer is useless .,battery timer
"It 's great and we will always stick with Apple computers , we have been so happy with them .",
Was not happy with one of the programs on it .,one of the programs
"this computer will last you at least 7 years , thats an amazing life spanned an electronic .",life
I homeschool my kids and with this netbook next to my desk we get to teaching and illustrating without skipping a beat .,
"( I 'm an excellent touch typist , and my hands are very sensitive , too .",
I 've had friends with Acers who seem to have had similar or exact same problems .,
BAck she goes !,
I just took the broken cords into the Apple store and they gave me new ones .,cords
My wireless system would not recognize Windows 7 and I could n't get online to find out why .,"wireless system, Windows 7"
The advantages of owning 'a 'mac are numerous .,
Then it ceased charging at all .,charging
"Acer has set me up with FREE recovery discs , when they are available since I asked .",recovery discs
"I would recommend this computer to anyone searching for the perfect laptop , and the battery life is amazing .",battery life
The Nortons virus scan is only for a very short time unlike others that usually are good for a year .,Nortons virus scan
"I have found also , it is very easy to be able to access wireless internet access ;",wireless internet access
I ca n't imagine my life without it anymore !,
"The other lock - up problems are from a myriad of causes , the most common being a corrupted version of Appleworks which can render the browser useless .","Appleworks, browser"
"It is loaded with programs that is of no good for the average user , that makes it run way to slow .","programs, run"
The screen is very large and crystal clear with amazing colors and resolution .,"screen, colors, resolution"
HP said I had done the damage .,
Time will tell .,
It 's the inside that is truly wonderful .,
"Externally the keys on my keyboard are falling off , after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit , and the screen has a terrible glare .","keys, keyboard, paint, button below the mouse pad, screen"
I came from the Dell Laptops and now I am so glad I switched when I needed a new laptop .,
HP said it was out of warranty .,warranty
"First , you ll discover that the word processing program known as Appleworks rarely translates perfectly on anyone else s computer , if it translates at all .","word processing program, Appleworks"
"Still pretty pricey , but I 've been putting off money for a while as a little Macbook Fund , and finally got to use it .",
i tried turning it done but it did nothing .,
I just bought this laptop 3 days ago .,
"Overall I feel this netbook was poor quality , had poor performance , although it did have great battery life when it did work .","quality, performance, battery life"
Design : very durable .,Design
"iTunes is a handy music - management program , and it is essential for anyone with an iPod .","iTunes, program"
"Oh , boy !",
"Was disappointed to find out that the model had been discontinued , apparently because of known motherboard problems .",motherboard
"I ordered through MacMall , which saved me the sales tax I would have incurred buying locally .",sales tax
Do n't waste your money or time .,
The 13 '' Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product .,"budget, shipping, price"
May be better for the occasional web surfer .,
"No laptop is perfect , but sometimes you just find a computer that works for you .",
The i5 blows my desktop out of the water when it comes to rendering videos .,i5
"The most recent being that my Safari internet browser is freaking out on me , but I have just been using firefox instead .","Safari internet browser, firefox"
It has been plagued with problems since the day i turned it on .,
I liked the aluminum body .,aluminum body
"Waited on getting this computer , but it has been a great change .",
I got this laptop on Black Friday .,
I 'll rather be out of date then spend more money on toshiba .,
"Summary : I 've had this laptop for 2 months , out of the blue the power adapter stops working .",power adapter
"As a lifelong Windows user , I was extremely pleased to make the change to Mac .",Windows
This is perfect for her field .,
"But with A WAY Bigger Screen , and IS able to connect to an HDMI .","Screen, HDMI"
Because he said that the hinge is under the motherboard and they have to dismantle the whole thing before it can be tightened .,"hinge, motherboard"
"I enjoy very much my new Toshiba , purchased specifially for attending online schooling .",
10 hours of battery life is really something else ... .,battery life
"Overall , this is a wonderful computer and definitly worth the purchase !",
"They offer the best warranty in the business , and do n't 3rd party it out like Toshiba .",warranty
I 'm excited to learn more about what this powerful machine has to offer and encourage others to do the same .,
"It is fast booting up , shutting down , and connection with the internet .","booting up, shutting down, connection with the internet"
"Needs longer lasting battery , More than 1 to 2 Hrs .",battery
My husband purchased a laptop at the same time for about $ 300 less ( he got a pc ) .,
- Computer crashed frequently and battery life decreased very quickly .,battery life
But the machine is awesome and iLife is great and I love Snow Leopard X .,"iLife, Snow Leopard X"
defective software .,software
With notes saying they replaced the hard drive .,hard drive
"When I turned it on , nothing .",
I waited another month for approval and for them to `` BUILD '' me a new laptop .,
"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed , etc .","priced, memory, speed"
I have owned macbook pros since 2005 and this is the best yet !,
This is a great value for the money .,value
"If the number of patrons in the Apple store are any indication , HP and other PC manufacturers need to take note .",
I paid $ 800 for this computer from my school campus bookstore .,
I 've tried going back to XL but there still problems .,
"After paying several hundred dollars for this service , it is frustrating that you can not get help after hours .",service
"Not only are the versions of these programs able to be saved , worked on and opened on both a PC and Mac , the versions of these programs on a Mac are graphically and functionally superior .","programs, programs"
Not worth it one bit .,
"sounds like a typewriter , but if you can get past that , this is a great laptop for a little money !",
Not easy to carry .,carry
It is fast and i have not had a problem with internet connection or any other problems .,internet connection
"I love windows 7 but i ca n't give Toshiba any credit for that , unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time .","windows 7, ergonomics, connections"
Drivers updated ok but the BIOS update froze the system up and the computer shut down .,"Drivers, BIOS update, system"
"the features are great , the only thing it needs is better speakers .","features, speakers"
This is a great machine !,
My brother is a computer wiz and would laugh at me because he used an Apple .,
Small screen somewhat limiting but great for travel .,screen
This has happened three times so far .,
Taking it anywhere was a pain !,
My first problem was with the pre - loaded Norton Firewall / Security program .,pre - loaded Norton Firewall / Security program
I was not aware that this product can not display websites that contain Flash .,
"The Windows 7 Starter is , in my opinion , a great way to think about using your netbook : basics , basics , basics .",Windows 7 Starter
The online tutorial videos make it super easy to learn if you have always used a PC .,online tutorial videos
"Second , it gets scratches easily and when it gets old some thing may operated",
i think that anyone looking for a good durrable laptop then this is the way to go .,
I 'm very happy with this machine !,
"I use my friends and family 's $ 2000 laptops and they are fast and reliable and HP , well , I 'll never buy or recommend an HP to anyone !",
My HP is very heavy .,
I could not handle it one hand like I can the replacement computer I purchased .,
One bad thing is it gets hot .,
"The newer black keyboard took a little bit away from the previous gray one which looked really slick , but it is still a great notebook !",black keyboard
I did not like my acer .,
"It took me a while top get away from the land of PCs , but now that I have , I ca n't see myself going back to it .",
I took it to friend who temporarily fixed it and I finally paid about 1500 for the extended warranty .,extended warranty
"How Toshiba handles the repair seems to vary , some folks indicate that they were charged for even an intial fix , others had the repair done 5 times .","repair, repair"
Completely worth every single penny dime and nickel .,
"The tech store I purchased this from sent it back , , , , , eventually I got a new or repaired machine approximately 3 weeks later .",tech store
It quit working within a weeks time .,
I babyed the heck out of it and i still do .,
It has everything you need to get the job done .,
The new Macbook Pro 15 inch i7 is nothing short of amazing .,
Save your money and go for a better device .,
"The 2 GB of RAM is plenty , able to run Windows 7 and at least 2 or 3 other programs with next to no slowdown .","2 GB of RAM, Windows 7, programs"
His was worth $ 36 .,
I will stack it up against laptops that cost twice as much any day .,cost
I am enjoying it and the quality it provides is great !,quality
I was also able to install and use my Photoshop and AfterEffects programs easily .,"Photoshop, AfterEffects programs"
"On 3 July 2004 , I purcased this model at Best Buy for about $ 150",
"We carry the netbook around here and there , hence it 's kinda of irritating when the LCD just `` slide '' downwards .",LCD
I purchased this netbook after my original Toshiba laptop crashed right after the warranty expired .,warranty
It came alot faster than I thought it would have which was really exciting .,
The battery does n't last long but I 'm sure an upgrade battery would solve that problem .,"battery, battery"
The case is carved out of a single block of aluminum .,case
"While lacking some of the functions of the other versions , this was very acceptable for the uses planned for this computer .",functions
I would not recommend the purchase of this modle of Toshiba Computer or any Toshiba product for that matter .,
I 'm having the laptop returned unrepaired since paying $ 176 every 3 months just is n't worth it ( that 's about how long the port seems to last ) .,port
I Have a friend who has the other model and we put them side by side with the same dvd in ( battle of the Smithsonian ) After on Hour mine was at 53 % life left and his was at 69 % life left .,
I started hainv problems with it within the first month .,
We purchase the Dell XPS several years ago for my home business .,
"THEN , one month after the warranty expired , the replacement charger went .","warranty, replacement charger"
It 's color is even cool .,color
"His language was so bad I swore I was taking the turing test , and it was failing .",
"HP Pavilion DV9000 Notebook PC When I first got this computer , it really rocked .",
You will regret it if you buy any dell .,
"If anything , I would only suggest using one of these laptops if only you have to .",
"The computer runs very fast with no problems and the iLife software that comes with it ( iPhoto , iMovie , iWeb , iTunes , GarageBand ) is all very helpful as well .","runs, iLife software, iPhoto, iMovie, iWeb, iTunes, GarageBand"
It is the worst laptop ever,
"The computer runs extremely slowly , whether opening Word or My Computer .",runs
Tried to make a recovey disk wouldnt get passed the first recovery disk .,"recovey disk, recovery disk"
If you could stretch by a few 100 dollars I highly recommend you should replace your Windows laptop with this one .,
"Also , I have had alot of trouble with the shift key to go to other lines .",shift key
I can have both OSX and Windows XP running at the same time !,"OSX, Windows XP"
The first programm I switched on was a game for my children .,programm
I would highly recommend this one to my friends,
"Apparently there is a manufacturing defect , something with the amount of thermal paste .",thermal paste
"I am not going to sit here and complain about it not having a cd drive and what not because it is a netbook , it is made to be compact and if you want all the other stuff get a laptop .",cd drive
"If that is the case for you , I would suggest a pull- behind solution when looking at cases .",
"I was originally concerned that I could n't view work I had done in college on my Mac because of the PC formatting , but I was even more thrilled to learn of programs like iLife and iWork that allow you to convert your PC documents into readable files on Macs .","programs, iLife, iWork"
Everything was so easy .,
But I needed a laptop for school use .,school use
compresses itself and you ca n't use it .,
They have developed excellent proprietary software for editing video and pictures and I 'm looking forward to utilizing these tools on the regular .,proprietary software
Summary : Dont buy HP .,
"Though you get a polite person , you often don t get a solution .",
"Web access through the 3G network is so slow , it 's very frustrating and VERY DISAPPOINTING .","Web access, 3G network"
I have in the past gotten superfine sandpaper and `` fixed '' the edges by rounding them off .,edges
We are addicted to the Mac .,
"WIth the upgraded memory , the MacBook Pro never has an issue running many many applications at once !","upgraded memory, running, applications"
Probbly the worst decision we ever made !,
"Though the picture , video , and music software is nowhere close to professional grade software Im used to ( CS5 ) but does the job for beginner and even intermediate media designers .","picture, video, music software, software"
"One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen all dark , power light steady , hard drive light steady and not flashing as it usually does .","GUI, screen, power light, hard drive light"
with the switch being at the top you need to memorize the key combination rather than just flicking a switch .,"switch, switch"
"The only thing I do n't understand is that the resolution of the screen is n't high enough for some pages , such as Yahoo ! Mail .",resolution of the screen
on the bright side at least I was n't without my laptop for long this time !,
There was a little difficulty doing the migration as the firewire cable system ca n't be used with the iBook .,"firewire cable system, iBook"
Windows is also rather unsteady on its feet and is susceptible to many bugs .,Windows
"`` For one , I noticed that from turning on my mac to logging on only took about 25 seconds .",
I just ca n't fathom that the celebrated Dell would last a week in environment of free competition with normal products - it only survives b/ c its substandard laptops are forced onto captive students and employees through question- raising programs .,
"Overall , this laptop is definitely a keeper with its simple yet stylish design and its array of fantastic colors to choose from .","design, colors"
Just what the doctor ordered .,
"Of course , I also have several great software packages that came for free including iWork , GarageBand , and iMovie .","software packages, iWork, GarageBand, iMovie"
The price is another driving influence that made me purchase this laptop .,price
"I will NEVER buy ( Refurbished ) again , I do n't cae how cheap it is .",
The only thing I would change about it is the mouse keys .,mouse keys
So I got another netbook which I love !,
I complain again ...,
But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates .,"price tag, software, updates"
"Other Thoughts : I love newegg , I recommend them to the world however this is just unacceptable .",
I would totally recommend any other laptop over this pile of grabage .,
"I do transcription work on the side , and the flatline keyboard makes typing quick and easy as well .",flatline keyboard
"I work in film editing and post production , so I need a laptop that not only has power , but memory and speed as well .","power, memory, speed"
"The minute you fire it up it 's all good , very easy user interface .",user interface
At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again .,system board
My house is now 100 % Macbook .,
"they improved nothing else such as Resolution , appearance , cooling system , graphics card , etc .","Resolution, appearance, cooling system, graphics card"
You may soon mistake my digitus medius as a lively pogo stick .,
"I edit and burn to DVD a lot of video , so I obviously could not live with a non - functioning drive .",drive
i have tried to charge on different batteries with no luck .,batteries
It discharges too quickly .,discharges
"ASUS has done an outstanding job of evolving their netbooks , and I would recommend this to anyone who both understands their needs and how netbooks can fit them .",
HOW DOES THE POWER SUPPLY NOT WORK ! ! !,POWER SUPPLY
"He LEFT ME , instructions on what to do when this comes up , or that comes up ... ...",
Despite the claims of the Apple apologists ( a vice of which I am recently myself reformed ) the internals of Mac laptops are NO different from PCs ' at this point .,internals
WILL NOT EVERY BUY ANOTHER- - - - - - - - LOU,
It is in the best condition and has a really high quality .,quality
The laptop is gorgeous .,
I got assurances from 2 different people that the remaining 10 months of my warranty would transfer to the new computer .,warranty
"I picked it out because it was inexpensive ( $ 400 ) and I thought it would be a good , easy to use first laptop .",use
"I do everything on this computer - check email , facebook , shop , check blogs , write papers , listen to music , and we even watch all of our movies on it since we do not have a tv .",
Every single one we 've gotten we 've had problems with .,
It is as good as new .,
"But , like I said before , the only reason I do n't currently have a Mac laptop is because all of their laptops are too pricey .",
"Being only 2 months old , I am not a happy camper !",
"the hinge design forced you to place various connections all around the computer , left right and front .",hinge design
mac is extremely different than any other laptop .,
"For the not so good , I got the stock screen - which is VERY glossy .",stock screen
Basic computer .,
True quality at a great price !,"quality, price"
No I am generous calling it slow .,
"Again , decent comp for the price , and I was in need of one quickly as my other laptop died on me .",price
I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen .,"touchpad, mouse pointer, screen"
"No problems , no lock ups , no disappointments .",
"So , I took it back to the apple store and they narcissist genius bar staff ) fixed it by resetting the fan at boot up .","genius bar staff, fan, boot up"
and plenty of storage with 250 gb ( though I will upgrade this and the ram .. ),"storage, ram"
"The battery holds up well , it 's built very solidly , and runs fast .","battery, built, runs"
They sent it off and within 2 weeks I had it back good as new .,
Being virus- resistant is a huge plus .,
I am also upset with CR for giving a good rating .,
"Quality Display I love HP , , it 's the only computer / printer we will buy .",Quality Display
The machine has a bluray player the book has no mention of it or how to connect it to your HDTV .,"bluray player, book"
the screen brightness automatically adjusts .,screen brightness
"So far , I have no complaints .",
"I know there are way better laptops out there for the same price , and why spend money on shit when you can go out and get yourself a perfectly decent laptop that doesnt suck total monkey balls .",price
"If you need an affordable , entry- level laptop , this will fit the bill .",
"It freezes , and it always shows that there is an error , so I have to restart it a few times every time I use it .",
"As with any laptop not purchased with software options , it comes with a lot of what I consider useless applications .","software options, applications"
The pictures are clear as can be .,pictures
"Even so , I like playing online games , so it was wonderful that there is a feature where I can dualboot Windows .","games, feature, Windows"
"I WILL NEVER AGAIN buy another Acer , not will I buy Gateway , or eMachine as they are all from the same company .",
I would recommend anyone to buy from pcconnection express .,
"I would recommend Mac , and do , to anyone looking to buy a new computer .",
Very small and portable I 've had this netbook about 12 hrs now and It 's better than expected .,
"Yes , I have it on the highest available setting .",
Dell 's customer disservice is an insult to it 's customers who pay good money for shoddy products .,Dell 's customer disservice
On my PowerBook G4 I would never use the trackpad I would use an external mouse because I did n't like the trackpad .,"trackpad, external mouse, trackpad"
"The display is incredibly bright , much brighter than my PowerBook and very crisp .",display
